Service Type,Year,Value
Special(Saturday),"February 17, 2016",
Sunday,"February 17, 2016",
Sunday Holiday,"February 17, 2016",
Weekday,"February 17, 2016",673353.0
July 4th Special,"February 18, 2016",
July 4th Special Sked,"February 18, 2016",
Saturday,"February 18, 2016",
Saturday Holiday,"February 18, 2016",
Special(Saturday),"February 18, 2016",
Sunday,"February 18, 2016",
Sunday Holiday,"February 18, 2016",
Weekday,"February 18, 2016",676769.0
July 4th Special,"February 19, 2016",
July 4th Special Sked,"February 19, 2016",
Saturday,"February 19, 2016",
Saturday Holiday,"February 19, 2016",
Special(Saturday),"February 19, 2016",
Sunday,"February 19, 2016",
Sunday Holiday,"February 19, 2016",
Weekday,"February 19, 2016",650923.0
July 4th Special,"February 22, 2016",
July 4th Special Sked,"February 22, 2016",
Saturday,"February 22, 2016",
Saturday Holiday,"February 22, 2016",
Special(Saturday),"February 22, 2016",
Sunday,"February 22, 2016",
Sunday Holiday,"February 22, 2016",
Weekday,"February 22, 2016",637400.0
July 4th Special,"February 23, 2016",
July 4th Special Sked,"February 23, 2016",
Saturday,"February 23, 2016",
Saturday Holiday,"February 23, 2016",
Special(Saturday),"February 23, 2016",
Sunday,"February 23, 2016",
Sunday Holiday,"February 23, 2016",
Weekday,"February 23, 2016",662908.0
July 4th Special,"February 24, 2016",
July 4th Special Sked,"February 24, 2016",
Saturday,"February 24, 2016",
Saturday Holiday,"February 24, 2016",
Special(Saturday),"February 24, 2016",
Sunday,"February 24, 2016",
Sunday Holiday,"February 24, 2016",
Weekday,"February 24, 2016",661967.0
July 4th Special,"February 25, 2016",
July 4th Special Sked,"February 25, 2016",
Saturday,"February 25, 2016",
Saturday Holiday,"February 25, 2016",
Special(Saturday),"February 25, 2016",
Sunday,"February 25, 2016",
Sunday Holiday,"February 25, 2016",
Weekday,"February 25, 2016",681232.0
July 4th Special,"February 26, 2016",
July 4th Special Sked,"February 26, 2016",
Saturday,"February 26, 2016",
Saturday Holiday,"February 26, 2016",
Special(Saturday),"February 26, 2016",
Sunday,"February 26, 2016",
Sunday Holiday,"February 26, 2016",
Weekday,"February 26, 2016",638742.0
July 4th Special,"February 29, 2016",
July 4th Special Sked,"February 29, 2016",
Saturday,"February 29, 2016",
Saturday Holiday,"February 29, 2016",
Special(Saturday),"February 29, 2016",
Sunday,"February 29, 2016",
Sunday Holiday,"February 29, 2016",
Weekday,"February 29, 2016",627638.0
July 4th Special,"March 1, 2016",
July 4th Special Sked,"March 1, 2016",
Saturday,"March 1, 2016",
Saturday Holiday,"March 1, 2016",
Special(Saturday),"March 1, 2016",
Sunday,"March 1, 2016",
Sunday Holiday,"March 1, 2016",
Weekday,"March 1, 2016",681085.0
July 4th Special,"March 2, 2016",
July 4th Special Sked,"March 2, 2016",
Saturday,"March 2, 2016",
Saturday Holiday,"March 2, 2016",
Special(Saturday),"March 2, 2016",
Sunday,"March 2, 2016",
Sunday Holiday,"March 2, 2016",
Weekday,"March 2, 2016",679005.0
July 4th Special,"March 3, 2016",
July 4th Special Sked,"March 3, 2016",
Saturday,"March 3, 2016",
Saturday Holiday,"March 3, 2016",
Special(Saturday),"March 3, 2016",
Sunday,"March 3, 2016",
Sunday Holiday,"March 3, 2016",
Weekday,"March 3, 2016",670945.0
July 4th Special,"March 4, 2016",
July 4th Special Sked,"March 4, 2016",
Saturday,"March 4, 2016",
Saturday Holiday,"March 4, 2016",
Special(Saturday),"March 4, 2016",
Sunday,"March 4, 2016",
Sunday Holiday,"March 4, 2016",
Weekday,"March 4, 2016",622319.0
July 4th Special,"March 7, 2016",
July 4th Special Sked,"March 7, 2016",
Saturday,"March 7, 2016",
Saturday Holiday,"March 7, 2016",
Special(Saturday),"March 7, 2016",
Sunday,"March 7, 2016",
Sunday Holiday,"March 7, 2016",
Weekday,"March 7, 2016",645436.0
July 4th Special,"March 8, 2016",
July 4th Special Sked,"March 8, 2016",
Saturday,"March 8, 2016",
Saturday Holiday,"March 8, 2016",
Special(Saturday),"March 8, 2016",
Sunday,"March 8, 2016",
Sunday Holiday,"March 8, 2016",
Weekday,"March 8, 2016",693447.0
July 4th Special,"March 9, 2016",
July 4th Special Sked,"March 9, 2016",
Saturday,"March 9, 2016",
Saturday Holiday,"March 9, 2016",
Special(Saturday),"March 9, 2016",
Sunday,"March 9, 2016",
Sunday Holiday,"March 9, 2016",
Weekday,"March 9, 2016",703119.0
July 4th Special,"March 10, 2016",
July 4th Special Sked,"March 10, 2016",
Saturday,"March 10, 2016",
Saturday Holiday,"March 10, 2016",
Special(Saturday),"March 10, 2016",
Sunday,"March 10, 2016",
Sunday Holiday,"March 10, 2016",
Weekday,"March 10, 2016",714177.0
July 4th Special,"March 11, 2016",
July 4th Special Sked,"March 11, 2016",
Saturday,"March 11, 2016",
Saturday Holiday,"March 11, 2016",
Special(Saturday),"March 11, 2016",
Sunday,"March 11, 2016",
Sunday Holiday,"March 11, 2016",
Weekday,"March 11, 2016",679842.0
July 4th Special,"March 14, 2016",
July 4th Special Sked,"March 14, 2016",
Saturday,"March 14, 2016",
Saturday Holiday,"March 14, 2016",
Special(Saturday),"March 14, 2016",
Sunday,"March 14, 2016",
Sunday Holiday,"March 14, 2016",
Weekday,"March 14, 2016",619812.0
July 4th Special,"March 15, 2016",
July 4th Special Sked,"March 15, 2016",
Saturday,"March 15, 2016",
Saturday Holiday,"March 15, 2016",
Special(Saturday),"March 15, 2016",
Sunday,"March 15, 2016",
Sunday Holiday,"March 15, 2016",
Weekday,"March 15, 2016",697921.0
July 4th Special,"March 16, 2016",
July 4th Special Sked,"March 16, 2016",
Saturday,"March 16, 2016",
Saturday Holiday,"March 16, 2016",
Special(Saturday),"March 16, 2016",
Sunday,"March 16, 2016",
Sunday Holiday,"March 16, 2016",
Weekday,"March 16, 2016",105.0
July 4th Special,"March 17, 2016",
July 4th Special Sked,"March 17, 2016",
Saturday,"March 17, 2016",
Saturday Holiday,"March 17, 2016",
Special(Saturday),"March 17, 2016",
Sunday,"March 17, 2016",
Sunday Holiday,"March 17, 2016",
Weekday,"March 17, 2016",682069.0
July 4th Special,"March 18, 2016",
July 4th Special Sked,"March 18, 2016",
Saturday,"March 18, 2016",
Saturday Holiday,"March 18, 2016",
Special(Saturday),"March 18, 2016",
Sunday,"March 18, 2016",
Sunday Holiday,"March 18, 2016",
Weekday,"March 18, 2016",668589.0
July 4th Special,"March 21, 2016",
July 4th Special Sked,"March 21, 2016",
Saturday,"March 21, 2016",
Saturday Holiday,"March 21, 2016",
Special(Saturday),"March 21, 2016",
Sunday,"March 21, 2016",
Sunday Holiday,"March 21, 2016",
Weekday,"March 21, 2016",666919.0
July 4th Special,"March 22, 2016",
July 4th Special Sked,"March 22, 2016",
Saturday,"March 22, 2016",
Saturday Holiday,"March 22, 2016",
Special(Saturday),"March 22, 2016",
Sunday,"March 22, 2016",
Sunday Holiday,"March 22, 2016",
Weekday,"March 22, 2016",709521.0
July 4th Special,"March 23, 2016",
July 4th Special Sked,"March 23, 2016",
Saturday,"March 23, 2016",
Saturday Holiday,"March 23, 2016",
Special(Saturday),"March 23, 2016",
Sunday,"March 23, 2016",
Sunday Holiday,"March 23, 2016",
Weekday,"March 23, 2016",733401.0
July 4th Special,"March 24, 2016",
July 4th Special Sked,"March 24, 2016",
Saturday,"March 24, 2016",
Saturday Holiday,"March 24, 2016",
Special(Saturday),"March 24, 2016",
Sunday,"March 24, 2016",
Sunday Holiday,"March 24, 2016",
Weekday,"March 24, 2016",766043.0
July 4th Special,"March 25, 2016",
July 4th Special Sked,"March 25, 2016",
Saturday,"March 25, 2016",
Saturday Holiday,"March 25, 2016",
Special(Saturday),"March 25, 2016",
Sunday,"March 25, 2016",
Sunday Holiday,"March 25, 2016",
Weekday,"March 25, 2016",671011.0
July 4th Special,"March 28, 2016",
July 4th Special Sked,"March 28, 2016",
Saturday,"March 28, 2016",
Saturday Holiday,"March 28, 2016",
Special(Saturday),"March 28, 2016",
Sunday,"March 28, 2016",
Sunday Holiday,"March 28, 2016",
Weekday,"March 28, 2016",654126.0
July 4th Special,"March 29, 2016",
July 4th Special Sked,"March 29, 2016",
Saturday,"March 29, 2016",
Saturday Holiday,"March 29, 2016",
Special(Saturday),"March 29, 2016",
Sunday,"March 29, 2016",
Sunday Holiday,"March 29, 2016",
Weekday,"March 29, 2016",711311.0
July 4th Special,"March 30, 2016",
July 4th Special Sked,"March 30, 2016",
Saturday,"March 30, 2016",
Saturday Holiday,"March 30, 2016",
Special(Saturday),"March 30, 2016",
Sunday,"March 30, 2016",
Sunday Holiday,"March 30, 2016",
Weekday,"March 30, 2016",727898.0
July 4th Special,"March 31, 2016",
July 4th Special Sked,"March 31, 2016",
Saturday,"March 31, 2016",
Saturday Holiday,"March 31, 2016",
Special(Saturday),"March 31, 2016",
Sunday,"March 31, 2016",
Sunday Holiday,"March 31, 2016",
Weekday,"March 31, 2016",683982.0
July 4th Special,"April 1, 2016",
July 4th Special Sked,"April 1, 2016",
Saturday,"April 1, 2016",
Saturday Holiday,"April 1, 2016",
Special(Saturday),"April 1, 2016",
Sunday,"April 1, 2016",
Sunday Holiday,"April 1, 2016",
Weekday,"April 1, 2016",678600.0
July 4th Special,"April 4, 2016",
July 4th Special Sked,"April 4, 2016",
Saturday,"April 4, 2016",
Saturday Holiday,"April 4, 2016",
Special(Saturday),"April 4, 2016",
Sunday,"April 4, 2016",
Sunday Holiday,"April 4, 2016",
Weekday,"April 4, 2016",659278.0
July 4th Special,"April 5, 2016",
July 4th Special Sked,"April 5, 2016",
Saturday,"April 5, 2016",
Saturday Holiday,"April 5, 2016",
Special(Saturday),"April 5, 2016",
Sunday,"April 5, 2016",
Sunday Holiday,"April 5, 2016",
Weekday,"April 5, 2016",702805.0
July 4th Special,"April 6, 2016",
July 4th Special Sked,"April 6, 2016",
Saturday,"April 6, 2016",
Saturday Holiday,"April 6, 2016",
Special(Saturday),"April 6, 2016",
Sunday,"April 6, 2016",
Sunday Holiday,"April 6, 2016",
Weekday,"April 6, 2016",711125.0
July 4th Special,"April 7, 2016",
July 4th Special Sked,"April 7, 2016",
Saturday,"April 7, 2016",
Saturday Holiday,"April 7, 2016",
Special(Saturday),"April 7, 2016",
Sunday,"April 7, 2016",
Sunday Holiday,"April 7, 2016",
Weekday,"April 7, 2016",718619.0
July 4th Special,"April 8, 2016",
July 4th Special Sked,"April 8, 2016",
Saturday,"April 8, 2016",
Saturday Holiday,"April 8, 2016",
Special(Saturday),"April 8, 2016",
Sunday,"April 8, 2016",
Sunday Holiday,"April 8, 2016",
Weekday,"April 8, 2016",683528.0
July 4th Special,"April 11, 2016",
July 4th Special Sked,"April 11, 2016",
Saturday,"April 11, 2016",
Saturday Holiday,"April 11, 2016",
Special(Saturday),"April 11, 2016",
Sunday,"April 11, 2016",
Sunday Holiday,"April 11, 2016",
Weekday,"April 11, 2016",661717.0
July 4th Special,"April 12, 2016",
July 4th Special Sked,"April 12, 2016",
Saturday,"April 12, 2016",
Saturday Holiday,"April 12, 2016",
Special(Saturday),"April 12, 2016",
Sunday,"April 12, 2016",
Sunday Holiday,"April 12, 2016",
Weekday,"April 12, 2016",699588.0
July 4th Special,"April 13, 2016",
July 4th Special Sked,"April 13, 2016",
Saturday,"April 13, 2016",
Saturday Holiday,"April 13, 2016",
Special(Saturday),"April 13, 2016",
Sunday,"April 13, 2016",
Sunday Holiday,"April 13, 2016",
Weekday,"April 13, 2016",716085.0
July 4th Special,"April 14, 2016",
July 4th Special Sked,"April 14, 2016",
Saturday,"April 14, 2016",
Saturday Holiday,"April 14, 2016",
Special(Saturday),"April 14, 2016",
Sunday,"April 14, 2016",
Sunday Holiday,"April 14, 2016",
Weekday,"April 14, 2016",725749.0
July 4th Special,"April 15, 2016",
July 4th Special Sked,"April 15, 2016",
Saturday,"April 15, 2016",
Saturday Holiday,"April 15, 2016",
Special(Saturday),"April 15, 2016",
Sunday,"April 15, 2016",
Sunday Holiday,"April 15, 2016",
Weekday,"April 15, 2016",663080.0
July 4th Special,"April 18, 2016",
July 4th Special Sked,"April 18, 2016",
Saturday,"April 18, 2016",
Saturday Holiday,"April 18, 2016",
Special(Saturday),"April 18, 2016",
Sunday,"April 18, 2016",
Sunday Holiday,"April 18, 2016",
Weekday,"April 18, 2016",658553.0
July 4th Special,"April 19, 2016",
July 4th Special Sked,"April 19, 2016",
Saturday,"April 19, 2016",
Saturday Holiday,"April 19, 2016",
Special(Saturday),"April 19, 2016",
Sunday,"April 19, 2016",
Sunday Holiday,"April 19, 2016",
Weekday,"April 19, 2016",695209.0
July 4th Special,"April 20, 2016",
July 4th Special Sked,"April 20, 2016",
Saturday,"April 20, 2016",
Saturday Holiday,"April 20, 2016",
Special(Saturday),"April 20, 2016",
Sunday,"April 20, 2016",
Sunday Holiday,"April 20, 2016",
Weekday,"April 20, 2016",699215.0
July 4th Special,"April 21, 2016",
July 4th Special Sked,"April 21, 2016",
Saturday,"April 21, 2016",
Saturday Holiday,"April 21, 2016",
Special(Saturday),"April 21, 2016",
Sunday,"April 21, 2016",
Sunday Holiday,"April 21, 2016",
Weekday,"April 21, 2016",695398.0
July 4th Special,"April 22, 2016",
July 4th Special Sked,"April 22, 2016",
Saturday,"April 22, 2016",
Saturday Holiday,"April 22, 2016",
Special(Saturday),"April 22, 2016",
Sunday,"April 22, 2016",
Sunday Holiday,"April 22, 2016",
Weekday,"April 22, 2016",667566.0
July 4th Special,"April 25, 2016",
July 4th Special Sked,"April 25, 2016",
Saturday,"April 25, 2016",
Saturday Holiday,"April 25, 2016",
Special(Saturday),"April 25, 2016",
Sunday,"April 25, 2016",
Sunday Holiday,"April 25, 2016",
Weekday,"April 25, 2016",632839.0
July 4th Special,"April 26, 2016",
July 4th Special Sked,"April 26, 2016",
Saturday,"April 26, 2016",
Saturday Holiday,"April 26, 2016",
Special(Saturday),"April 26, 2016",
Sunday,"April 26, 2016",
Sunday Holiday,"April 26, 2016",
Weekday,"April 26, 2016",685857.0
July 4th Special,"April 27, 2016",
July 4th Special Sked,"April 27, 2016",
Saturday,"April 27, 2016",
Saturday Holiday,"April 27, 2016",
Special(Saturday),"April 27, 2016",
Sunday,"April 27, 2016",
Sunday Holiday,"April 27, 2016",
Weekday,"April 27, 2016",688324.0
July 4th Special,"April 28, 2016",
July 4th Special Sked,"April 28, 2016",
Saturday,"April 28, 2016",
Saturday Holiday,"April 28, 2016",
Special(Saturday),"April 28, 2016",
Sunday,"April 28, 2016",
Sunday Holiday,"April 28, 2016",
Weekday,"April 28, 2016",699967.0
July 4th Special,"April 29, 2016",
July 4th Special Sked,"April 29, 2016",
Saturday,"April 29, 2016",
Saturday Holiday,"April 29, 2016",
Special(Saturday),"April 29, 2016",
Sunday,"April 29, 2016",
Sunday Holiday,"April 29, 2016",
Weekday,"April 29, 2016",631061.0
July 4th Special,"May 2, 2016",
July 4th Special Sked,"May 2, 2016",
Saturday,"May 2, 2016",
Saturday Holiday,"May 2, 2016",
Special(Saturday),"May 2, 2016",
Sunday,"May 2, 2016",
Sunday Holiday,"May 2, 2016",
Weekday,"May 2, 2016",617454.0
July 4th Special,"May 3, 2016",
July 4th Special Sked,"May 3, 2016",
Saturday,"May 3, 2016",
Saturday Holiday,"May 3, 2016",
Special(Saturday),"May 3, 2016",
Sunday,"May 3, 2016",
Sunday Holiday,"May 3, 2016",
Weekday,"May 3, 2016",660361.0
July 4th Special,"May 4, 2016",
July 4th Special Sked,"May 4, 2016",
Saturday,"May 4, 2016",
Saturday Holiday,"May 4, 2016",
Special(Saturday),"May 4, 2016",
Sunday,"May 4, 2016",
Sunday Holiday,"May 4, 2016",
Weekday,"May 4, 2016",669677.0
July 4th Special,"May 5, 2016",
July 4th Special Sked,"May 5, 2016",
Saturday,"May 5, 2016",
Saturday Holiday,"May 5, 2016",
Special(Saturday),"May 5, 2016",
Sunday,"May 5, 2016",
Sunday Holiday,"May 5, 2016",
Weekday,"May 5, 2016",667243.0
July 4th Special,"May 6, 2016",
July 4th Special Sked,"May 6, 2016",
Saturday,"May 6, 2016",
Saturday Holiday,"May 6, 2016",
Special(Saturday),"May 6, 2016",
Sunday,"May 6, 2016",
Sunday Holiday,"May 6, 2016",
Weekday,"May 6, 2016",588678.0
July 4th Special,"May 9, 2016",
July 4th Special Sked,"May 9, 2016",
Saturday,"May 9, 2016",
Saturday Holiday,"May 9, 2016",
Special(Saturday),"May 9, 2016",
Sunday,"May 9, 2016",
Sunday Holiday,"May 9, 2016",
Weekday,"May 9, 2016",608850.0
July 4th Special,"May 10, 2016",
July 4th Special Sked,"May 10, 2016",
Saturday,"May 10, 2016",
Saturday Holiday,"May 10, 2016",
Special(Saturday),"May 10, 2016",
Sunday,"May 10, 2016",
Sunday Holiday,"May 10, 2016",
Weekday,"May 10, 2016",668426.0
July 4th Special,"May 11, 2016",
July 4th Special Sked,"May 11, 2016",
Saturday,"May 11, 2016",
Saturday Holiday,"May 11, 2016",
Special(Saturday),"May 11, 2016",
Sunday,"May 11, 2016",
Sunday Holiday,"May 11, 2016",
Weekday,"May 11, 2016",677418.0
July 4th Special,"May 12, 2016",
July 4th Special Sked,"May 12, 2016",
Saturday,"May 12, 2016",
Saturday Holiday,"May 12, 2016",
Special(Saturday),"May 12, 2016",
Sunday,"May 12, 2016",
Sunday Holiday,"May 12, 2016",
Weekday,"May 12, 2016",666183.0
July 4th Special,"May 13, 2016",
July 4th Special Sked,"May 13, 2016",
Saturday,"May 13, 2016",
Saturday Holiday,"May 13, 2016",
Special(Saturday),"May 13, 2016",
Sunday,"May 13, 2016",
Sunday Holiday,"May 13, 2016",
Weekday,"May 13, 2016",636415.0
July 4th Special,"May 16, 2016",
July 4th Special Sked,"May 16, 2016",
Saturday,"May 16, 2016",
Saturday Holiday,"May 16, 2016",
Special(Saturday),"May 16, 2016",
Sunday,"May 16, 2016",
Sunday Holiday,"May 16, 2016",
Weekday,"May 16, 2016",619375.0
July 4th Special,"May 17, 2016",
July 4th Special Sked,"May 17, 2016",
Saturday,"May 17, 2016",
Saturday Holiday,"May 17, 2016",
Special(Saturday),"May 17, 2016",
Sunday,"May 17, 2016",
Sunday Holiday,"May 17, 2016",
Weekday,"May 17, 2016",644040.0
July 4th Special,"May 18, 2016",
July 4th Special Sked,"May 18, 2016",
Saturday,"May 18, 2016",
Saturday Holiday,"May 18, 2016",
Special(Saturday),"May 18, 2016",
Sunday,"May 18, 2016",
